 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 29 397 11 1 ZTF_g 939426214115 0 2.203 85.1907 4.76816 26.1788 2.67833e-05 0.0293489 -0.0317444 4.21562e-05 195 30. 0.066989 0.063776 20.5827 26.1788 3 2458693.9262153 397120141 7363.51504863171 51.5512568989903 158.891520604047 7.48319441897926 7483.06659090788 54.1356706358771 139.158994179756 1.07444063156291 3.02124716304239 18.3890001296997 0.0540000014007092 3.33299994468689 0.331000000238419 2458286.943785 2458351.920660 0
 30 397 11 1 ZTF_r 939462234115 0 1.8143 173.26 5.77383 26.2539 2.25676e-05 0.0265279 0.130177 3.49356e-05 195 30. 0.061765 0.058678 20.6281 26.2539 1 2458693.9622338 397120241 6343.04170006183 48.7350445727201 144.780809326778 10.6635821029934 6093.07120836928 57.5938888359949 106.506237336907 1.03987590644909 2.76432555898864 18.0350002288818 0.0579999983310699 4.34100008010864 0.252000004053116 2458312.941296 2458364.863900 0
 31 397 11 1 ZTF_r 939463624115 0 1.728 173.144 5.78587 26.2481 1.49509e-05 0.0218772 0.122818 2.32675e-05 197 30. 0.062144 0.060282 20.6231 26.2481 3 2458693.9636227 397120241 6620.25074836688 48.8314421584714 150.809843581157 13.341064622445 6171.89177214671 54.4012202058539 114.215449484766 1.0334704533733 2.76432555898864 18.0350002288818 0.0579999983310699 4.34100008010864 0.252000004053116 2458312.941296 2458364.863900 0
 32 397 11 1 ZTF_r 940414524115 0 1.7306 172.407 5.33424 26.2368 1.97143e-05 0.0245565 0.131362 3.12102e-05 191 30. 0.062359 0.05705 20.7061 26.2368 3 2458694.9145255 397120241 6999.65235528053 49.2008804553463 158.255348775086 14.3125186296429 6732.4271241088 54.1247128137197 125.225059973366 1.03664339402668 2.76432555898864 18.0350002288818 0.0579999983310699 4.34100008010864 0.252000004053116 2458312.941296 2458364.863900 0
 33 397 11 1 ZTF_g 940460184115 0 1.8555 85.4443 4.16443 26.1848 1.81263e-05 0.0241215 -0.0531168 2.90028e-05 193 30. 0.062564 0.061327 20.8379 26.1848 3 2458694.9601852 397120141 8563.88528367422 53.2887172660543 178.768244718061 16.1917196267877 8363.66318850233 51.6408815794563 163.04897754939 1.06090984441476 3.02124716304239 18.3890001296997 0.0540000014007092 3.33299994468689 0.331000000238419 2458286.943785 2458351.920660 0
 34 397 11 1 ZTF_g 941425744115 0 2.0081 85.716 4.8506 26.1925 2.3417e-05 0.0275234 -0.0505387 3.82221e-05 193 30. 0.067366 0.061461 20.6173 26.1925 3 2458695.9257407 397120141 9407.2500913227 56.6425677985688 184.745793132734 14.4489173395677 9155.87960404634 56.6266700965979 162.777450346954 1.05887539028741 3.02124716304239 18.3890001296997 0.0540000014007092 3.33299994468689 0.331000000238419 2458286.943785 2458351.920660 0
 35 397 11 1 ZTF_r 941461624115 0 2.1389 172.118 5.88503 26.2486 2.50821e-05 0.0280865 0.130891 3.91797e-05 195 30. 0.071378 0.062459 20.5023 26.2486 3 2458695.9616204 397120241 7449.44815872726 52.6096616948087 157.511908694803 10.3743556484269 7338.68834882614 59.4038334360752 124.37101125867 1.04860787721005 2.76432555898864 18.0350002288818 0.0579999983310699 4.34100008010864 0.252000004053116 2458312.941296 2458364.863900 0
 36 397 11 1 ZTF_g 942432444115 0 1.9155 86.0347 4.70661 26.1998 2.32465e-05 0.0272571 -0.0548602 3.73165e-05 191 30. 0.067242 0.057454 20.7118 26.1998 1 2458696.9324421 397120141 10107.7148134302 59.0488735840661 190.412810629313 15.1772918862208 9954.74086523059 58.3007185642868 171.898166343391 1.06553274284454 3.02124716304239 18.3890001296997 0.0540000014007092 3.33299994468689 0.331000000238419 2458286.943785 2458351.920660 0
 37 397 11 1 ZTF_g 942435164115 0 2.0006 86.3766 4.6932 26.2048 2.97578e-05 0.0309338 -0.0562231 4.79924e-05 193 30. 0.066324 0.059662 20.6782 26.2048 3 2458696.935162 397120141 10235.2225549465 59.6960928546309 190.724367924043 14.1850963644873 10128.8167025768 60.0840737992886 169.712774468198 1.06798992063574 3.02124716304239 18.3890001296997 0.0540000014007092 3.33299994468689 0.331000000238419 2458286.943785 2458351.920660 0
 38 397 11 1 ZTF_r 942463274115 0 1.5791 173.818 5.63663 26.2557 1.5433e-05 0.0216784 0.116578 2.41037e-05 192 30. 0.062046 0.063164 20.7232 26.2557 3 2458696.9632755 397120241 8518.19562540636 53.8676629651589 175.903417275247 22.9898876807546 7918.79157871596 55.4300506511404 143.823160938092 1.03297824301384 2.76432555898864 18.0350002288818 0.0579999983310699 4.34100008010864 0.252000004053116 2458312.941296 2458364.863900 0
